,Clear_day_cov,Clear_night_cov,Day_view_angle,Day_view_time,Emis_31,Emis_32,LST_Day_1km,LST_Night_1km,Night_view_angle,Night_view_time,QC_Day,QC_Night
6192,2482.153846153846,2498.6923076923076,76.23076923076923,109.84615384615384,246.21428571428572,248.0,15631.076923076924,14938.923076923076,70.92307692307692,221.15384615384616,8.5,17.75
6193,2514.076923076923,2507.4615384615386,76.3076923076923,109.84615384615384,246.21428571428572,248.0,15646.076923076924,14911.307692307691,70.92307692307692,221.15384615384616,4.4375,17.75
6194,2454.4285714285716,2454.5384615384614,73.78571428571429,109.57142857142857,246.28571428571428,248.0,15627.92857142857,14908.461538461539,71.0,221.15384615384616,4.3125,17.75
6195,2610.1428571428573,2436.923076923077,73.78571428571429,109.57142857142857,246.35714285714286,248.0,15634.92857142857,14937.153846153846,71.07692307692308,221.15384615384616,4.3125,17.75
6196,2671.285714285714,2530.6923076923076,73.78571428571429,109.64285714285714,246.35714285714286,248.0,15672.714285714286,14952.76923076923,71.07692307692308,221.15384615384616,4.3125,17.75
6197,2701.1428571428573,2485.4615384615386,73.85714285714286,109.71428571428571,246.35714285714286,248.0,15700.42857142857,14951.23076923077,71.07692307692308,221.15384615384616,4.3125,17.75
6198,2731.785714285714,2454.769230769231,74.21428571428571,109.71428571428571,246.35714285714286,248.0,15747.92857142857,14943.384615384615,71.07692307692308,221.15384615384616,4.3125,17.75
6199,2565.4615384615386,2517.153846153846,75.92307692307692,109.6923076923077,246.0,247.92857142857142,15563.076923076924,14949.461538461539,70.6923076923077,221.15384615384616,4.4375,33.5
6200,2549.285714285714,2513.846153846154,73.42857142857143,109.5,246.0,247.64285714285714,15556.785714285714,14948.307692307691,70.6923076923077,221.15384615384616,8.375,27.2
6201,2568.214285714286,2454.153846153846,73.5,109.5,246.0,247.71428571428572,15599.142857142857,14938.23076923077,70.76923076923077,221.15384615384616,12.4375,27.2
6202,2558.0,2594.3333333333335,73.57142857142857,109.57142857142857,246.0,247.92857142857142,15620.857142857143,14915.166666666666,75.58333333333333,221.66666666666666,12.4375,14.6
6203,2507.1428571428573,2556.5833333333335,73.64285714285714,109.57142857142857,246.07142857142858,247.92857142857142,15632.642857142857,14902.5,75.58333333333333,221.66666666666666,12.4375,2.0
6204,2448.0714285714284,2519.3333333333335,73.71428571428571,109.57142857142857,246.21428571428572,248.0,15666.5,14889.5,75.66666666666667,221.66666666666666,12.4375,2.0
6205,2428.285714285714,2501.25,73.78571428571429,109.57142857142857,246.28571428571428,248.0,15686.92857142857,14895.25,75.75,221.66666666666666,8.375,2.0
6206,2428.0,2492.5833333333335,73.78571428571429,109.57142857142857,246.28571428571428,248.0,15700.142857142857,14916.166666666666,75.83333333333333,221.66666666666666,8.375,2.0
6207,2424.5,2336.076923076923,73.85714285714286,109.64285714285714,246.35714285714286,248.0,15685.285714285714,14940.846153846154,71.07692307692308,221.15384615384616,8.375,17.75
